code,period,lines,width,height
SZ300539,day,"[{""start"": {""x"": 628, ""y"": 149.5}, ""end"": {""x"": 801, ""y"": 149.5}, ""id"": 1756098461207}, {""start"": {""x"": 747, ""y"": 83.5}, ""end"": {""x"": 908, ""y"": 83.5}, ""id"": 1756098471527}]",1000,300
SZ300539,30m,[],1000,300
